id,isin,slug,name,display,type,currency,sector,note
US78392B1070,US78392B1070,skhynix,SK Hynix,SK Hynix,security,EUR,Semiconductors,
US02079K3059,US02079K3059,alphabeta,Alphabet 'A',Alphabet A,security,EUR,Hyperscaler,share class kept — both classes are held
US02079K1079,US02079K1079,alphabetc,Alphabet 'C',Alphabet C,security,EUR,Hyperscaler,share class kept — both classes are held
US5738741041,US5738741041,marvell,Marvell Technology,Marvell,security,EUR,Optical,
LU0322252924,LU0322252924,vietnametf,Xtrackers FTSE Vietnam Swap UCITS ETF - 1C USD ACC,Vietnam ETF,security,EUR,Diverse,
US81730H1095,US81730H1095,sentinelone,SentinelOne,SentinelOne,security,EUR,Cybersecurity,
US98980G1022,US98980G1022,zscaler,"Zscaler, Inc.",Zscaler,security,EUR,Cybersecurity,
US0231351067,US0231351067,amazon,Amazon,Amazon,security,EUR,Hyperscaler,
US86800U3023,US86800U3023,supermicro,Super Micro Computer,Supermicro,security,EUR,AI Supply,
US22788C1053,US22788C1053,crowdstrike,Crowdstrike A,CrowdStrike,security,EUR,Cybersecurity,
CA73044W3021,CA73044W3021,poet,POET Technologies,POET,security,EUR,Optical,
US5951121038,US5951121038,micron,Micron Technology,Micron,security,EUR,Semiconductors,
IE000I8KRLL9,IE000I8KRLL9,globalsemisetf,iShares MSCI Global Semiconductors UCITS ETF,Global Semis ETF,security,EUR,Semiconductors,
US74743L1008,US74743L1008,qnity,Qnity,Qnity,security,EUR,Semiconductors,
DE0006069008,DE0006069008,frosta,FRoSTA,FRoSTA,security,EUR,Diverse,
IE000KXTLDE2,IE000KXTLDE2,semisupplychainetf,First Trust Bloom. Gbl Semiconduct. Supply Chain UCITS ETF A,Semi Supply Chain ETF,security,EUR,Semiconductors,
CH0012032113,CH0012032113,roche,Roche,Roche,security,EUR,Other,
KYG3323L1005,KYG3323L1005,fabrinet,Fabrinet,Fabrinet,security,EUR,Optical,
US67066G1040,US67066G1040,nvidia,NVIDIA,NVIDIA,security,EUR,Semiconductors,
US15643U1043,US15643U1043,centrus,CENTRUS ENERGY,Centrus,security,EUR,AI Supply,
NL0010273215,NL0010273215,asml,ASML Holding,ASML,security,EUR,Semiconductors,
US0887861088,US0887861088,bicycle,Bicycle Therapeutics ADR,Bicycle,security,EUR,Other,
DE000SHA0100,DE000SHA0100,schaeffler,Schaeffler,Schaeffler,security,EUR,Other,
US0846707026,US0846707026,berkshireb,Berkshire Hathaway 'B',Berkshire B,security,EUR,Cash,share class kept
US1858991011,US1858991011,clevelandcliffs,Cleveland-Cliffs,Cleveland-Cliffs,security,EUR,Other,
IE00B4L5Y983,IE00B4L5Y983,msciworld,iShares Core MSCI World UCITS ETF - USD ACC,MSCI World,security,EUR,Diverse,
IE00BMTX2B82,IE00BMTX2B82,aexetf,iShs-AEX UCITS ETF Reg. Shs EUR Acc. oN,AEX ETF,security,EUR,Diverse,
JP3979200007,JP3979200007,lasertec,LASERTEC CORP.,Lasertec,security,EUR,Semiconductors,
US02156V1098,US02156V1098,oklo,Oklo,Oklo,security,EUR,AI Supply,
US3373451026,US3373451026,nasdaq100tech,First Tr.NASDAQ-100 Tech.In.Fd Registered Shares o.N.,Nasdaq-100 Tech,security,EUR,Diverse,First Trust NASDAQ-100 Technology Sector Index Fund
IE00B3YLTY66,IE00B3YLTY66,acwiimi,State Street SPDR MSCI ACWI IMI UCITS ETF (Acc),ACWI IMI,security,EUR,Diverse,
US8740391003,US8740391003,tsmc,TSMC (ADR),TSMC,security,EUR,Semiconductors,
US78392B2060,US78392B2060,skhynixadr,SK Hynix (ADR),SK Hynix ADR,security,EUR,Semiconductors,kept apart from the ordinary line above
US0378331005,US0378331005,apple,Apple,Apple,security,EUR,Other,
IE00BMFKG444,IE00BMFKG444,nasdaq100etf,Xtrackers Nasdaq 100 UCITS ETF 1C,Nasdaq 100 ETF,security,EUR,Diverse,
IE00B2QWDY88,IE00B2QWDY88,japansmallcap,iShares MSCI Japan SmallCap UCITS ETF - USD DIS,Japan SmallCap,security,EUR,Other,
US55024U1097,US55024U1097,lumentum,Lumentum,Lumentum,security,EUR,Optical,
US5949181045,US5949181045,microsoft,Microsoft,Microsoft,security,EUR,Hyperscaler,
IE00B9M6SJ31,IE00B9M6SJ31,globalcorpbond,iShares Global Corp Bond EUR Hedged UCITS ETF - DIS H,Global Corp Bond,security,EUR,Cash,
DE0008430026,DE0008430026,munichre,Münchener Rück,Munich Re,security,EUR,Other,
IE00BHZRQZ17,IE00BHZRQZ17,indiaetf,Franklin FTSE India UCITS ETF - USD ACC,India ETF,security,EUR,Other,
DE000FD08PD3,DE000FD08PD3,nvidiacall,Call auf Nvidia [Société Générale],NVIDIA call,security,EUR,Semiconductors,warrant
DE000FA8G475,DE000FA8G475,nvidia220call,SocGen Call 16.01.26 NVIDIA 220,NVIDIA 220 call,security,EUR,Semiconductors,warrant
DE000SX6J7C4,DE000SX6J7C4,nasdaqput18500,SocGen Put 20.03.26 Nasd100 18500,Nasdaq put 18500,security,EUR,Other,warrant
DE000LS1LUS9,DE000LS1LUS9,langschwarz,Lang & Schwarz,Lang & Schwarz,security,EUR,Other,
US67079K1007,US67079K1007,nuscale,Nuscale Power,NuScale,security,EUR,AI Supply,
US30303M1027,US30303M1027,meta,Meta Platforms,Meta,security,EUR,Other,
US80004C2008,US80004C2008,sandisk,SanDisk Corporation,SanDisk,security,EUR,Semiconductors,watchlist
US68389X1054,US68389X1054,oracle,Oracle Corporation,Oracle,security,EUR,Hyperscaler,watchlist
NL0009805522,NL0009805522,nebius,Nebius Group N.V.,Nebius,security,EUR,Hyperscaler,watchlist
NL0009538784,NL0009538784,nxp,NXP Semiconductors N.V.,NXP Semiconductors,security,EUR,Semiconductors,watchlist
