id,source,symbol,quote_currency,fx_symbol,note
CA73044W3021,yahoo,POET,USD,EURUSD=X,
CH0012032113,yahoo,RO.SW,CHF,EURCHF=X,SIX listing (liquid) — the Xetra cross-listing (RHO.DE) is too thin to use
DE0006069008,yahoo,NLM.F,EUR,,
DE0008430026,yahoo,MUV2.DE,EUR,,
DE000FA8G475,manual,,EUR,,expired warrant — worthless
DE000FD08PD3,manual,,EUR,,expired warrant — worthless
DE000LS1LUS9,yahoo,LUS1.F,EUR,,
DE000SHA0100,yahoo,SHA0.DE,EUR,,
DE000SX6J7C4,manual,,EUR,,expired warrant — worthless
IE000I8KRLL9,yahoo,SEMI.AS,USD,EURUSD=X,
IE000KXTLDE2,yahoo,CHPS.L,USD,EURUSD=X,
IE00B2QWDY88,yahoo,ISJP.L,GBp,EURGBP=X,
IE00B3YLTY66,yahoo,SPYI.DE,EUR,,
IE00B4L5Y983,yahoo,EUNL.DE,EUR,,
IE00B9M6SJ31,yahoo,CRPH.IL,EUR,,
IE00BHZRQZ17,yahoo,FLXI.DE,EUR,,
IE00BMFKG444,yahoo,XNAS.DE,EUR,,
IE00BMTX2B82,yahoo,IAEA.AS,EUR,,
JP3979200007,yahoo,6920.T,JPY,EURJPY=X,
KYG3323L1005,yahoo,FN,USD,EURUSD=X,
LU0322252924,yahoo,XFVT.L,GBp,EURGBP=X,
NL0010273215,yahoo,ASML.AS,EUR,,
US02079K1079,yahoo,GOOG,USD,EURUSD=X,
US02079K3059,yahoo,GOOGL,USD,EURUSD=X,
US02156V1098,yahoo,OKLO,USD,EURUSD=X,
US0231351067,yahoo,AMZN,USD,EURUSD=X,
US0378331005,yahoo,AAPL,USD,EURUSD=X,
US0846707026,yahoo,BRK-B,USD,EURUSD=X,
US0887861088,yahoo,50BA.SG,EUR,,
US15643U1043,yahoo,LEU,USD,EURUSD=X,
US1858991011,yahoo,CLF,USD,EURUSD=X,
US22788C1053,yahoo,CRWD,USD,EURUSD=X,
US3373451026,yahoo,QTEC,USD,EURUSD=X,
US55024U1097,yahoo,LITE,USD,EURUSD=X,
US5738741041,yahoo,MRVL,USD,EURUSD=X,
US5949181045,yahoo,MSFT,USD,EURUSD=X,
US5951121038,yahoo,MU,USD,EURUSD=X,
US67066G1040,yahoo,NVDA,USD,EURUSD=X,
US67079K1007,yahoo,SMR,USD,EURUSD=X,
US74743L1008,yahoo,Q,USD,EURUSD=X,
US78392B1070,yahoo,000660.KS,KRW,EURKRW=X,Seoul home listing — the only source; the Frankfurt line was too thin to mix in
US78392B2060,yahoo,SKHY,USD,EURUSD=X,
US81730H1095,yahoo,S,USD,EURUSD=X,
US86800U3023,yahoo,SMCI,USD,EURUSD=X,
US8740391003,yahoo,TSM,USD,EURUSD=X,
US98980G1022,yahoo,ZS,USD,EURUSD=X,
US30303M1027,yahoo,META,USD,EURUSD=X,
US80004C2008,yahoo,SNDK,USD,EURUSD=X,
US68389X1054,yahoo,ORCL,USD,EURUSD=X,
NL0009805522,yahoo,NBIS,USD,EURUSD=X,
NL0009538784,yahoo,VNX.DE,EUR,,
